date,time,value
06/06/2013,00:09,43.76000214
06/06/2013,00:14,43.76000214
06/06/2013,00:19,42.73999786
06/06/2013,00:24,42.22999954
06/06/2013,00:29,42.22999954
06/06/2013,00:34,42.22999954
06/06/2013,00:39,42.22999954
06/06/2013,00:44,42.22999954
06/06/2013,00:49,42.22999954
06/06/2013,00:54,42.22999954
06/06/2013,00:59,42.22999954
06/06/2013,01:04,42.22999954
06/06/2013,01:09,41.71999741
06/06/2013,01:14,42.22999954
06/06/2013,01:19,42.22999954
06/06/2013,01:24,41.71999741
06/06/2013,01:29,42.22999954
06/06/2013,01:34,41.71999741
06/06/2013,01:39,41.71999741
06/06/2013,01:44,41.71999741
06/06/2013,01:49,41.71999741
06/06/2013,01:54,41.71999741
06/06/2013,01:59,41.71999741
06/06/2013,02:04,41.71999741
06/06/2013,02:09,41.71999741
06/06/2013,02:14,41.71999741
06/06/2013,02:19,41.71999741
06/06/2013,02:24,41.71999741
06/06/2013,02:29,41.71999741
06/06/2013,02:34,41.71999741
06/06/2013,02:39,41.71999741
06/06/2013,02:44,41.71999741
06/06/2013,02:49,41.71999741
06/06/2013,02:54,41.71999741
06/06/2013,02:59,41.71999741
06/06/2013,03:04,41.71999741
06/06/2013,03:09,41.71999741
06/06/2013,03:14,42.22999954
06/06/2013,03:19,43.76000214
06/06/2013,03:24,43.76000214
06/06/2013,03:29,43.76000214
06/06/2013,03:34,44.27000046
06/06/2013,03:39,44.27000046
06/06/2013,03:44,43.25
06/06/2013,03:49,42.73999786
06/06/2013,03:54,42.22999954
06/06/2013,03:59,42.22999954
06/06/2013,04:04,42.22999954
06/06/2013,04:09,42.22999954
06/06/2013,04:14,42.22999954
06/06/2013,04:19,41.71999741
06/06/2013,04:24,41.71999741
06/06/2013,04:29,41.71999741
06/06/2013,04:34,41.71999741
06/06/2013,04:39,41.71999741
06/06/2013,04:44,41.71999741
06/06/2013,04:49,41.2100029
06/06/2013,04:54,41.2100029
06/06/2013,04:59,41.2100029
06/06/2013,05:04,40.70000076
06/06/2013,05:09,40.70000076
06/06/2013,05:14,40.18999863
06/06/2013,05:19,39.68000031
06/06/2013,05:24,39.68000031
06/06/2013,05:29,39.16999817
06/06/2013,05:34,39.68000031
06/06/2013,05:39,39.68000031
06/06/2013,05:44,40.18999863
06/06/2013,05:49,39.68000031
06/06/2013,05:54,39.16999817
06/06/2013,05:59,39.16999817
06/06/2013,06:04,38.15000153
06/06/2013,06:09,37.13000107
06/06/2013,06:14,37.13000107
06/06/2013,06:19,36.61999893
06/06/2013,06:24,36.61999893
06/06/2013,06:29,36.61999893
06/06/2013,06:34,36.61999893
06/06/2013,06:39,36.11000061
06/06/2013,06:44,36.11000061
06/06/2013,06:49,36.11000061
06/06/2013,06:54,35.59999847
06/06/2013,06:59,36.11000061
06/06/2013,07:04,35.59999847
06/06/2013,07:09,35.59999847
06/06/2013,07:14,34.58000183
06/06/2013,07:19,34.58000183
06/06/2013,07:24,35.08999634
06/06/2013,07:29,35.08999634
06/06/2013,07:34,35.08999634
06/06/2013,07:39,35.08999634
06/06/2013,07:44,35.59999847
06/06/2013,07:49,35.08999634
06/06/2013,07:54,36.11000061
06/06/2013,07:59,35.59999847
06/06/2013,08:04,35.59999847
06/06/2013,08:09,35.59999847
06/06/2013,08:14,36.61999893
06/06/2013,08:19,37.63999939
06/06/2013,08:24,38.15000153
06/06/2013,08:29,38.66000366
06/06/2013,08:34,38.66000366
06/06/2013,08:39,39.16999817
06/06/2013,08:44,39.16999817
06/06/2013,08:49,38.66000366
06/06/2013,08:54,39.16999817
06/06/2013,08:59,39.16999817
06/06/2013,09:04,39.16999817
06/06/2013,09:09,39.16999817
06/06/2013,09:14,39.16999817
06/06/2013,09:19,39.68000031
06/06/2013,09:24,39.68000031
06/06/2013,09:29,39.68000031
06/06/2013,09:34,39.68000031
06/06/2013,09:39,39.68000031
06/06/2013,09:44,40.18999863
06/06/2013,09:49,40.18999863
06/06/2013,09:54,40.18999863
06/06/2013,09:59,40.70000076
06/06/2013,10:04,40.70000076
06/06/2013,10:09,40.70000076
06/06/2013,10:14,40.70000076
06/06/2013,10:19,39.68000031
06/06/2013,10:24,39.16999817
06/06/2013,10:29,39.16999817
06/06/2013,10:49,38.15000153
06/06/2013,10:54,38.66000366
06/06/2013,10:59,38.66000366
06/06/2013,11:04,38.15000153
06/06/2013,11:09,38.15000153
06/06/2013,11:14,38.15000153
06/06/2013,11:19,38.15000153
06/06/2013,11:24,38.15000153
06/06/2013,11:29,37.63999939
06/06/2013,11:34,38.15000153
06/06/2013,11:39,38.15000153
06/06/2013,11:44,38.15000153
06/06/2013,11:49,37.63999939
06/06/2013,11:54,38.66000366
06/06/2013,11:59,38.66000366
06/06/2013,12:04,39.16999817
06/06/2013,12:09,39.16999817
06/06/2013,12:14,39.16999817
06/06/2013,12:19,39.68000031
06/06/2013,12:24,39.68000031
06/06/2013,12:29,39.68000031
06/06/2013,12:34,39.68000031
06/06/2013,12:39,40.18999863
06/06/2013,12:44,39.68000031
06/06/2013,12:49,40.18999863
06/06/2013,12:54,40.18999863
06/06/2013,12:59,40.18999863
06/06/2013,13:04,40.70000076
06/06/2013,13:09,40.70000076
06/06/2013,13:14,41.2100029
06/06/2013,13:19,41.2100029
06/06/2013,13:24,41.71999741
06/06/2013,13:29,41.71999741
06/06/2013,13:34,41.71999741
06/06/2013,13:39,41.71999741
06/06/2013,13:44,41.2100029
06/06/2013,13:49,40.70000076
06/06/2013,13:54,40.18999863
06/06/2013,13:59,40.18999863
06/06/2013,14:04,40.18999863
06/06/2013,14:09,39.68000031
06/06/2013,14:14,39.68000031
06/06/2013,14:19,39.68000031
06/06/2013,14:24,39.68000031
06/06/2013,14:29,39.68000031
06/06/2013,14:34,39.16999817
06/06/2013,14:39,39.16999817
06/06/2013,14:44,39.16999817
06/06/2013,14:49,39.16999817
06/06/2013,14:54,39.16999817
06/06/2013,14:59,39.16999817
