date,hour,percentage
15/06/2013,23,100.0
15/06/2013,0,100.0
15/06/2013,1,100.0
15/06/2013,2,100.0
15/06/2013,3,100.0
15/06/2013,4,100.0
15/06/2013,5,100.0
15/06/2013,6,100.0
15/06/2013,7,100.0
15/06/2013,8,100.0
15/06/2013,9,100.0
15/06/2013,10,100.0
15/06/2013,11,100.0
15/06/2013,12,100.0
15/06/2013,13,100.0
15/06/2013,14,100.0
15/06/2013,15,100.0
15/06/2013,16,100.0
15/06/2013,17,100.0
15/06/2013,18,100.0
15/06/2013,19,100.0
15/06/2013,20,100.0
15/06/2013,21,100.0
15/06/2013,22,100.0
16/06/2013,23,100.0
16/06/2013,0,100.0
16/06/2013,1,100.0
16/06/2013,2,100.0
16/06/2013,3,100.0
16/06/2013,4,100.0
16/06/2013,5,100.0
16/06/2013,6,100.0
16/06/2013,7,100.0
16/06/2013,8,100.0
16/06/2013,9,100.0
16/06/2013,10,100.0
16/06/2013,11,100.0
16/06/2013,12,100.0
16/06/2013,13,100.0
16/06/2013,14,100.0
16/06/2013,15,100.0
16/06/2013,16,100.0
16/06/2013,17,100.0
16/06/2013,18,100.0
16/06/2013,19,100.0
16/06/2013,20,100.0
16/06/2013,21,100.0
16/06/2013,22,100.0
17/06/2013,23,100.0
17/06/2013,0,100.0
17/06/2013,1,100.0
17/06/2013,2,100.0
17/06/2013,3,100.0
17/06/2013,4,100.0
17/06/2013,5,100.0
17/06/2013,6,100.0
17/06/2013,7,8.333333333333332
17/06/2013,11,91.66666666666666
17/06/2013,12,100.0
17/06/2013,13,100.0
17/06/2013,14,100.0
17/06/2013,15,100.0
17/06/2013,16,100.0
17/06/2013,17,100.0
17/06/2013,18,100.0
17/06/2013,19,8.333333333333332
17/06/2013,21,91.66666666666666
17/06/2013,22,100.0
18/06/2013,23,100.0
18/06/2013,0,100.0
18/06/2013,1,100.0
18/06/2013,2,100.0
18/06/2013,3,100.0
18/06/2013,4,100.0
18/06/2013,5,8.333333333333332
18/06/2013,7,91.66666666666666
18/06/2013,8,100.0
18/06/2013,9,100.0
18/06/2013,10,100.0
18/06/2013,11,100.0
18/06/2013,12,100.0
18/06/2013,13,100.0
18/06/2013,14,100.0
18/06/2013,15,100.0
18/06/2013,16,100.0
18/06/2013,17,100.0
18/06/2013,18,100.0
18/06/2013,19,8.333333333333332
18/06/2013,21,91.66666666666666
18/06/2013,22,100.0
19/06/2013,23,100.0
19/06/2013,0,100.0
19/06/2013,1,100.0
19/06/2013,2,100.0
19/06/2013,3,100.0
19/06/2013,4,100.0
19/06/2013,5,100.0
19/06/2013,6,100.0
19/06/2013,7,100.0
19/06/2013,8,100.0
19/06/2013,9,100.0
19/06/2013,10,100.0
19/06/2013,11,100.0
19/06/2013,12,100.0
19/06/2013,13,100.0
19/06/2013,14,100.0
19/06/2013,15,100.0
19/06/2013,16,100.0
19/06/2013,17,100.0
19/06/2013,18,100.0
19/06/2013,19,100.0
19/06/2013,20,100.0
19/06/2013,21,100.0
19/06/2013,22,100.0
20/06/2013,23,100.0
20/06/2013,0,100.0
20/06/2013,1,100.0
20/06/2013,2,100.0
20/06/2013,3,100.0
20/06/2013,4,100.0
20/06/2013,5,100.0
20/06/2013,6,100.0
20/06/2013,7,100.0
20/06/2013,8,100.0
20/06/2013,9,100.0
20/06/2013,10,100.0
20/06/2013,11,100.0
20/06/2013,12,100.0
20/06/2013,13,100.0
20/06/2013,14,100.0
20/06/2013,15,100.0
20/06/2013,16,100.0
20/06/2013,17,100.0
20/06/2013,18,100.0
20/06/2013,19,100.0
20/06/2013,20,100.0
20/06/2013,21,8.333333333333332
21/06/2013,23,91.66666666666666
21/06/2013,0,100.0
21/06/2013,1,100.0
21/06/2013,2,100.0
21/06/2013,3,100.0
21/06/2013,4,100.0
21/06/2013,5,8.333333333333332
21/06/2013,7,91.66666666666666
21/06/2013,8,100.0
21/06/2013,9,100.0
21/06/2013,10,100.0
21/06/2013,11,100.0
21/06/2013,12,100.0
21/06/2013,13,100.0
21/06/2013,14,100.0
21/06/2013,15,100.0
21/06/2013,16,100.0
21/06/2013,17,100.0
21/06/2013,18,100.0
21/06/2013,19,100.0
21/06/2013,20,100.0
21/06/2013,21,100.0
21/06/2013,22,100.0
22/06/2013,23,100.0
22/06/2013,0,100.0
22/06/2013,1,100.0
22/06/2013,2,100.0
22/06/2013,3,100.0
22/06/2013,4,100.0
22/06/2013,5,100.0
22/06/2013,6,100.0
22/06/2013,7,100.0
22/06/2013,8,100.0
22/06/2013,9,100.0
22/06/2013,10,100.0
22/06/2013,11,100.0
22/06/2013,12,100.0
22/06/2013,13,100.0
22/06/2013,14,100.0
22/06/2013,15,100.0
22/06/2013,16,100.0
22/06/2013,17,100.0
22/06/2013,18,100.0
22/06/2013,19,100.0
22/06/2013,20,100.0
22/06/2013,21,8.333333333333332
23/06/2013,23,91.66666666666666
23/06/2013,0,100.0
23/06/2013,1,100.0
23/06/2013,2,100.0
23/06/2013,3,100.0
23/06/2013,4,100.0
23/06/2013,5,100.0
23/06/2013,6,100.0
23/06/2013,7,100.0
23/06/2013,8,100.0
23/06/2013,9,100.0
23/06/2013,10,100.0
23/06/2013,11,100.0
23/06/2013,12,100.0
23/06/2013,13,100.0
23/06/2013,14,100.0
23/06/2013,15,100.0
23/06/2013,16,100.0
23/06/2013,17,100.0
23/06/2013,18,100.0
23/06/2013,19,100.0
23/06/2013,20,100.0
23/06/2013,21,100.0
23/06/2013,22,100.0
24/06/2013,23,100.0
24/06/2013,0,100.0
24/06/2013,1,100.0
24/06/2013,2,100.0
24/06/2013,3,100.0
24/06/2013,4,100.0
24/06/2013,5,100.0
24/06/2013,6,100.0
24/06/2013,7,100.0
24/06/2013,8,100.0
24/06/2013,9,100.0
24/06/2013,10,100.0
24/06/2013,11,100.0
24/06/2013,12,100.0
24/06/2013,13,100.0
24/06/2013,14,100.0
24/06/2013,15,100.0
24/06/2013,16,100.0
24/06/2013,17,100.0
24/06/2013,18,100.0
24/06/2013,19,100.0
24/06/2013,20,100.0
24/06/2013,21,100.0
24/06/2013,22,100.0
25/06/2013,23,100.0
25/06/2013,0,100.0
25/06/2013,1,100.0
25/06/2013,2,100.0
25/06/2013,3,100.0
25/06/2013,4,100.0
25/06/2013,5,100.0
25/06/2013,6,100.0
25/06/2013,7,100.0
25/06/2013,8,100.0
25/06/2013,9,100.0
25/06/2013,10,100.0
25/06/2013,11,100.0
25/06/2013,12,100.0
25/06/2013,13,100.0
25/06/2013,14,100.0
25/06/2013,15,100.0
25/06/2013,16,100.0
25/06/2013,17,100.0
25/06/2013,18,100.0
25/06/2013,19,100.0
25/06/2013,20,100.0
25/06/2013,21,100.0
25/06/2013,22,100.0
26/06/2013,23,100.0
26/06/2013,0,100.0
26/06/2013,1,100.0
26/06/2013,2,100.0
26/06/2013,3,100.0
26/06/2013,4,100.0
26/06/2013,5,100.0
26/06/2013,6,100.0
26/06/2013,7,8.333333333333332
26/06/2013,9,91.66666666666666
26/06/2013,10,100.0
26/06/2013,11,8.333333333333332
26/06/2013,13,91.66666666666666
26/06/2013,14,100.0
26/06/2013,15,8.333333333333332
26/06/2013,17,91.66666666666666
26/06/2013,18,100.0
26/06/2013,19,100.0
26/06/2013,20,100.0
26/06/2013,21,100.0
26/06/2013,22,100.0
27/06/2013,23,8.333333333333332
27/06/2013,1,91.66666666666666
27/06/2013,2,100.0
27/06/2013,3,100.0
27/06/2013,4,100.0
27/06/2013,5,100.0
27/06/2013,6,100.0
27/06/2013,7,100.0
27/06/2013,8,100.0
27/06/2013,9,100.0
27/06/2013,10,100.0
27/06/2013,11,100.0
27/06/2013,12,100.0
27/06/2013,13,100.0
27/06/2013,14,100.0
27/06/2013,15,100.0
27/06/2013,16,100.0
27/06/2013,17,100.0
27/06/2013,18,100.0
27/06/2013,19,100.0
27/06/2013,20,100.0
27/06/2013,21,100.0
27/06/2013,22,100.0
28/06/2013,23,8.333333333333332
28/06/2013,1,91.66666666666666
28/06/2013,2,100.0
28/06/2013,3,100.0
28/06/2013,4,100.0
28/06/2013,5,100.0
28/06/2013,6,100.0
28/06/2013,7,100.0
28/06/2013,8,100.0
28/06/2013,9,100.0
28/06/2013,10,100.0
28/06/2013,11,100.0
28/06/2013,12,100.0
28/06/2013,13,100.0
28/06/2013,14,100.0
28/06/2013,15,100.0
28/06/2013,16,100.0
28/06/2013,17,100.0
28/06/2013,18,100.0
28/06/2013,19,100.0
28/06/2013,20,100.0
28/06/2013,21,100.0
28/06/2013,22,100.0
01/07/2013,23,91.66666666666666
01/07/2013,0,100.0
01/07/2013,1,100.0
01/07/2013,2,100.0
01/07/2013,3,100.0
01/07/2013,4,100.0
01/07/2013,5,100.0
01/07/2013,6,100.0
01/07/2013,7,100.0
01/07/2013,8,100.0
01/07/2013,9,16.666666666666664
01/07/2013,11,91.66666666666666
01/07/2013,12,100.0
01/07/2013,13,100.0
01/07/2013,14,100.0
01/07/2013,15,100.0
01/07/2013,16,100.0
01/07/2013,17,100.0
01/07/2013,18,100.0
01/07/2013,19,100.0
01/07/2013,20,100.0
01/07/2013,21,100.0
01/07/2013,22,100.0
02/07/2013,23,100.0
02/07/2013,0,100.0
02/07/2013,1,100.0
02/07/2013,2,100.0
02/07/2013,3,100.0
02/07/2013,4,100.0
02/07/2013,5,100.0
02/07/2013,6,100.0
02/07/2013,7,100.0
02/07/2013,8,100.0
02/07/2013,9,100.0
02/07/2013,10,100.0
02/07/2013,11,100.0
02/07/2013,12,100.0
02/07/2013,13,100.0
02/07/2013,14,100.0
02/07/2013,15,100.0
02/07/2013,16,100.0
02/07/2013,17,100.0
02/07/2013,18,100.0
02/07/2013,19,100.0
02/07/2013,20,100.0
02/07/2013,21,100.0
02/07/2013,22,100.0
03/07/2013,23,100.0
03/07/2013,0,100.0
03/07/2013,1,100.0
03/07/2013,2,100.0
03/07/2013,3,100.0
03/07/2013,4,100.0
03/07/2013,5,100.0
03/07/2013,6,100.0
03/07/2013,7,100.0
03/07/2013,8,100.0
03/07/2013,9,100.0
03/07/2013,10,100.0
03/07/2013,11,8.333333333333332
03/07/2013,13,91.66666666666666
03/07/2013,14,100.0
03/07/2013,15,100.0
03/07/2013,16,100.0
03/07/2013,17,100.0
03/07/2013,18,100.0
03/07/2013,19,100.0
03/07/2013,20,100.0
03/07/2013,21,100.0
03/07/2013,22,100.0
04/07/2013,23,8.333333333333332
04/07/2013,1,91.66666666666666
04/07/2013,2,100.0
04/07/2013,3,8.333333333333332
04/07/2013,5,91.66666666666666
04/07/2013,6,100.0
04/07/2013,7,100.0
04/07/2013,8,100.0
04/07/2013,9,100.0
04/07/2013,10,100.0
04/07/2013,11,100.0
04/07/2013,12,100.0
04/07/2013,13,100.0
04/07/2013,14,100.0
04/07/2013,15,100.0
04/07/2013,16,100.0
04/07/2013,17,100.0
04/07/2013,18,100.0
04/07/2013,19,100.0
04/07/2013,20,100.0
04/07/2013,21,100.0
04/07/2013,22,100.0
05/07/2013,23,100.0
05/07/2013,0,100.0
05/07/2013,1,100.0
05/07/2013,2,100.0
