date,hour,percentage
09/07/2013,10,100.0
09/07/2013,11,100.0
09/07/2013,12,100.0
09/07/2013,13,100.0
09/07/2013,14,100.0
09/07/2013,15,100.0
09/07/2013,16,100.0
09/07/2013,17,100.0
09/07/2013,18,100.0
09/07/2013,19,100.0
09/07/2013,20,100.0
09/07/2013,21,100.0
09/07/2013,22,100.0
10/07/2013,23,8.333333333333332
10/07/2013,1,91.66666666666666
10/07/2013,2,100.0
10/07/2013,3,100.0
10/07/2013,4,100.0
10/07/2013,5,100.0
10/07/2013,6,100.0
10/07/2013,7,100.0
10/07/2013,8,100.0
10/07/2013,9,100.0
10/07/2013,10,100.0
10/07/2013,11,100.0
10/07/2013,12,100.0
10/07/2013,13,100.0
10/07/2013,14,100.0
10/07/2013,15,100.0
10/07/2013,16,100.0
10/07/2013,17,100.0
10/07/2013,18,100.0
10/07/2013,19,100.0
10/07/2013,20,100.0
10/07/2013,21,100.0
10/07/2013,22,100.0
11/07/2013,23,100.0
11/07/2013,0,100.0
11/07/2013,1,100.0
11/07/2013,2,100.0
11/07/2013,3,100.0
11/07/2013,4,100.0
11/07/2013,5,100.0
11/07/2013,6,100.0
11/07/2013,7,100.0
11/07/2013,8,100.0
11/07/2013,9,100.0
11/07/2013,10,100.0
11/07/2013,11,100.0
11/07/2013,12,100.0
11/07/2013,13,100.0
11/07/2013,14,100.0
11/07/2013,15,100.0
11/07/2013,16,100.0
11/07/2013,17,100.0
11/07/2013,18,100.0
11/07/2013,19,100.0
11/07/2013,20,100.0
11/07/2013,21,100.0
11/07/2013,22,100.0
12/07/2013,23,100.0
12/07/2013,0,100.0
12/07/2013,1,100.0
12/07/2013,2,100.0
12/07/2013,3,100.0
12/07/2013,4,100.0
12/07/2013,5,100.0
12/07/2013,6,100.0
12/07/2013,7,100.0
12/07/2013,8,100.0
12/07/2013,9,100.0
12/07/2013,10,100.0
12/07/2013,11,100.0
12/07/2013,12,100.0
12/07/2013,13,100.0
12/07/2013,14,100.0
12/07/2013,15,100.0
12/07/2013,16,100.0
12/07/2013,17,100.0
12/07/2013,18,100.0
12/07/2013,19,100.0
12/07/2013,20,100.0
12/07/2013,21,100.0
12/07/2013,22,100.0
13/07/2013,23,100.0
13/07/2013,0,100.0
13/07/2013,1,100.0
13/07/2013,2,100.0
13/07/2013,3,100.0
13/07/2013,4,100.0
13/07/2013,5,100.0
13/07/2013,6,100.0
13/07/2013,7,100.0
13/07/2013,8,100.0
13/07/2013,9,100.0
13/07/2013,10,100.0
13/07/2013,11,100.0
13/07/2013,12,100.0
13/07/2013,13,100.0
13/07/2013,14,100.0
13/07/2013,15,100.0
13/07/2013,16,100.0
13/07/2013,17,100.0
13/07/2013,18,100.0
13/07/2013,19,100.0
13/07/2013,20,100.0
13/07/2013,21,100.0
13/07/2013,22,100.0
14/07/2013,23,100.0
14/07/2013,0,100.0
14/07/2013,1,100.0
14/07/2013,2,100.0
14/07/2013,3,100.0
14/07/2013,4,100.0
14/07/2013,5,100.0
14/07/2013,6,100.0
14/07/2013,7,100.0
14/07/2013,8,100.0
14/07/2013,9,100.0
14/07/2013,10,100.0
14/07/2013,11,100.0
14/07/2013,12,100.0
14/07/2013,13,100.0
14/07/2013,14,100.0
14/07/2013,15,100.0
14/07/2013,16,100.0
14/07/2013,17,100.0
14/07/2013,18,100.0
14/07/2013,19,100.0
14/07/2013,20,100.0
14/07/2013,21,100.0
14/07/2013,22,100.0
15/07/2013,23,100.0
15/07/2013,0,100.0
15/07/2013,1,100.0
15/07/2013,2,100.0
15/07/2013,3,100.0
15/07/2013,4,100.0
15/07/2013,5,100.0
15/07/2013,6,100.0
15/07/2013,7,100.0
15/07/2013,8,100.0
15/07/2013,9,100.0
15/07/2013,10,100.0
15/07/2013,11,100.0
15/07/2013,12,100.0
15/07/2013,13,100.0
15/07/2013,14,100.0
15/07/2013,15,100.0
15/07/2013,16,100.0
15/07/2013,17,100.0
15/07/2013,18,100.0
15/07/2013,19,100.0
15/07/2013,20,100.0
15/07/2013,21,100.0
15/07/2013,22,100.0
16/07/2013,23,100.0
16/07/2013,0,100.0
16/07/2013,1,100.0
16/07/2013,2,100.0
16/07/2013,3,100.0
16/07/2013,4,100.0
16/07/2013,5,100.0
16/07/2013,6,100.0
16/07/2013,7,100.0
16/07/2013,8,100.0
16/07/2013,9,100.0
16/07/2013,10,100.0
16/07/2013,11,100.0
16/07/2013,12,100.0
16/07/2013,13,100.0
16/07/2013,14,100.0
16/07/2013,15,100.0
16/07/2013,16,100.0
16/07/2013,17,100.0
16/07/2013,18,100.0
16/07/2013,19,100.0
16/07/2013,20,100.0
16/07/2013,21,100.0
16/07/2013,22,100.0
17/07/2013,23,100.0
17/07/2013,0,100.0
17/07/2013,1,100.0
17/07/2013,2,100.0
17/07/2013,3,100.0
17/07/2013,4,100.0
17/07/2013,5,100.0
17/07/2013,6,100.0
17/07/2013,7,100.0
17/07/2013,8,100.0
17/07/2013,9,100.0
17/07/2013,10,100.0
17/07/2013,11,100.0
17/07/2013,12,100.0
17/07/2013,13,100.0
17/07/2013,14,100.0
17/07/2013,15,100.0
17/07/2013,16,100.0
17/07/2013,17,100.0
17/07/2013,18,100.0
17/07/2013,19,100.0
17/07/2013,20,100.0
17/07/2013,21,100.0
17/07/2013,22,100.0
18/07/2013,23,100.0
18/07/2013,0,100.0
18/07/2013,1,100.0
18/07/2013,2,100.0
18/07/2013,3,100.0
18/07/2013,4,100.0
18/07/2013,5,100.0
18/07/2013,6,100.0
18/07/2013,7,100.0
18/07/2013,8,100.0
18/07/2013,9,100.0
18/07/2013,10,100.0
18/07/2013,11,100.0
18/07/2013,12,100.0
18/07/2013,13,100.0
18/07/2013,14,100.0
18/07/2013,15,100.0
18/07/2013,16,100.0
18/07/2013,17,100.0
18/07/2013,18,100.0
18/07/2013,19,100.0
18/07/2013,20,100.0
18/07/2013,21,100.0
18/07/2013,22,100.0
19/07/2013,23,100.0
19/07/2013,0,100.0
19/07/2013,1,100.0
19/07/2013,2,100.0
19/07/2013,3,100.0
19/07/2013,4,100.0
19/07/2013,5,100.0
19/07/2013,6,100.0
19/07/2013,7,8.333333333333332
19/07/2013,11,91.66666666666666
19/07/2013,12,100.0
19/07/2013,13,100.0
19/07/2013,14,100.0
19/07/2013,15,100.0
19/07/2013,16,100.0
19/07/2013,17,100.0
19/07/2013,18,100.0
19/07/2013,19,8.333333333333332
19/07/2013,21,91.66666666666666
19/07/2013,22,100.0
20/07/2013,23,100.0
20/07/2013,0,100.0
20/07/2013,1,100.0
20/07/2013,2,100.0
20/07/2013,3,100.0
20/07/2013,4,100.0
20/07/2013,5,100.0
20/07/2013,6,100.0
20/07/2013,7,100.0
20/07/2013,8,100.0
20/07/2013,9,100.0
20/07/2013,10,100.0
20/07/2013,11,100.0
20/07/2013,12,100.0
20/07/2013,13,100.0
20/07/2013,14,100.0
20/07/2013,15,100.0
20/07/2013,16,100.0
20/07/2013,17,100.0
20/07/2013,18,100.0
20/07/2013,19,100.0
20/07/2013,20,100.0
20/07/2013,21,100.0
20/07/2013,22,100.0
21/07/2013,23,100.0
21/07/2013,0,100.0
21/07/2013,1,100.0
21/07/2013,2,100.0
21/07/2013,3,100.0
21/07/2013,4,100.0
21/07/2013,5,100.0
21/07/2013,6,100.0
21/07/2013,7,100.0
21/07/2013,8,100.0
21/07/2013,9,100.0
21/07/2013,10,100.0
21/07/2013,11,100.0
21/07/2013,12,100.0
21/07/2013,13,100.0
21/07/2013,14,100.0
21/07/2013,15,100.0
21/07/2013,16,100.0
21/07/2013,17,100.0
21/07/2013,18,100.0
21/07/2013,19,100.0
21/07/2013,20,100.0
21/07/2013,21,100.0
21/07/2013,22,100.0
22/07/2013,23,100.0
22/07/2013,0,100.0
22/07/2013,1,100.0
22/07/2013,2,100.0
22/07/2013,3,100.0
22/07/2013,4,100.0
22/07/2013,5,100.0
22/07/2013,6,100.0
22/07/2013,7,100.0
22/07/2013,8,100.0
22/07/2013,9,100.0
22/07/2013,10,100.0
22/07/2013,11,100.0
22/07/2013,12,100.0
22/07/2013,13,100.0
22/07/2013,14,100.0
22/07/2013,15,100.0
22/07/2013,16,100.0
22/07/2013,17,100.0
22/07/2013,18,100.0
22/07/2013,19,100.0
22/07/2013,20,100.0
22/07/2013,21,100.0
22/07/2013,22,100.0
23/07/2013,23,100.0
23/07/2013,0,100.0
23/07/2013,1,100.0
23/07/2013,2,100.0
23/07/2013,3,100.0
23/07/2013,4,100.0
23/07/2013,5,100.0
